SIDT,TNNU,STNU,HOUR,SPEC,ANGL,RADL,PERP,GPSZ,MVST,SBMV,FSAG,TWAW,HABT,GPRP
4,19,7,17,RNW,97,8,8,2,0,1,2,1,,15
4,20,1,16,RNW,2,18,1,1,1,1,1,0,,15
4,20,2,16,RNW,99,76,75,1,0,0,0,0,,75
4,20,3,16,RNW,32,32,17,3,0,1,2,1,,25
4,20,3,16,RNW,32,26,14,3,0,1,1,0,,25
4,20,3,16,RNW,32,56,30,3,0,0,0,0,,25
4,20,4,16,RNW,80,62,61,1,0,0,0,0,,65
4,20,5,16,EGK,63,28,25,2,0,0,0,0,,25
4,20,5,16,EGK,91,33,33,2,0,0,0,0,,35
4,20,6,16,EGK,46,220,158,2,0,0,0,0,,165
4,20,6,16,EGK,46,220,158,2,0,0,0,0,,165
4,20,7,16,EGK,53,165,132,1,0,0,0,0,,135
4,20,8,16,RNW,8,31,4,1,1,1,1,0,,15
4,20,9,16,EGK,86,69,69,2,0,0,0,0,,75
4,20,10,16,EGK,101,73,72,2,0,0,0,0,,75
4,20,11,16,RNW,18,76,23,1,0,1,3,0,,25
4,20,12,16,EGK,46,94,68,2,0,0,0,0,,55
4,20,12,16,EGK,71,75,71,2,0,0,0,0,,55
4,20,13,16,EGK,96,85,85,4,0,0,0,0,,75
4,20,13,16,EGK,97,87,86,4,0,0,0,0,,75
4,20,13,16,EGK,98,88,87,4,0,0,0,0,,75
4,20,13,16,EGK,94,83,83,4,0,0,0,0,,75
4,20,14,16,RNW,68,96,89,1,0,0,0,0,,75
4,20,15,16,RNW,70,175,164,3,0,0,0,0,,175
4,20,15,16,RNW,70,175,164,3,0,0,0,0,,175
4,20,15,16,RNW,73,175,167,3,0,0,0,0,,175
4,20,16,16,RNW,67,52,48,2,0,0,0,0,,45
4,20,16,16,RNW,94,51,51,2,0,0,0,0,,45
4,20,17,16,RNW,11,85,16,1,0,1,2,0,,15
4,20,18,16,EGK,16,30,8,1,0,0,0,0,,15
4,20,19,17,RNW,27,82,37,1,0,0,0,0,,45
4,20,20,17,RNW,66,47,43,1,1,1,2,0,,45
4,22,1,6,RNW,36,16,9,1,0,1,2,1,,15
4,22,2,6,RNW,26,60,26,1,0,1,2,1,,25
4,22,3,6,RNW,46,25,18,1,0,1,2,0,,15
4,22,4,6,RNW,25,64,27,1,0,1,1,8,,25
4,22,5,6,RNW,65,64,58,1,0,0,0,0,,55
4,22,6,6,RNW,90,100,100,3,0,0,0,0,,85
4,22,6,6,RNW,104,110,107,3,0,0,0,0,,105
4,22,6,6,RNW,104,110,107,3,0,0,0,0,,105
4,22,7,7,RNW,67,67,62,2,0,1,2,0,,65
4,22,7,7,RNW,65,69,63,2,0,1,2,0,,65
4,22,8,7,RNW,81,73,72,1,0,0,0,0,,65
4,23,1,7,RNW,92,95,95,1,0,0,0,0,,115
4,23,2,7,EGK,33,27,15,1,0,0,0,0,,15
4,23,3,7,RNW,51,110,85,3,0,0,0,0,,95
4,23,3,7,RNW,57,118,99,3,0,0,0,0,,95
4,23,3,7,RNW,52,110,87,3,0,0,0,0,,95
4,23,4,7,RNW,97,115,114,1,0,0,0,0,,105
4,23,5,7,RNW,72,20,19,1,0,0,0,0,,25
4,23,6,7,EGK,73,41,39,3,0,0,0,0,,45
4,23,6,7,EGK,73,41,39,3,0,0,0,0,,45
4,23,6,7,EGK,73,41,39,3,0,0,0,0,,45
4,23,7,8,RNW,72,33,31,2,0,0,0,0,,35
4,23,7,8,RNW,89,33,33,2,0,0,0,0,,35
4,23,8,8,RNW,38,75,46,4,0,1,2,0,,55
4,23,8,8,RNW,36,77,45,4,0,1,2,0,,55
4,23,8,8,RNW,37,76,46,4,0,1,2,0,,55
4,23,8,8,RNW,89,56,56,4,0,1,3,0,,55
4,24,1,8,RNW,73,9,9,1,1,1,1,0,,15
4,29,1,16,EGK,6,118,12,5,0,0,0,0,,15
4,29,1,16,EGK,6,125,13,5,0,0,0,0,,15
4,29,1,16,EGK,7,133,16,5,0,0,0,0,,15
4,29,1,16,EGK,10,40,7,5,0,0,0,0,,15
4,29,1,16,EGK,11,41,8,5,0,0,0,0,,15
4,29,2,16,EGK,21,116,42,3,0,0,0,0,,55
4,29,2,16,EGK,47,77,56,3,0,0,0,0,,55
4,29,2,16,EGK,47,77,56,3,0,0,0,0,,55
4,29,3,16,EGK,27,150,68,1,1,0,0,0,,85
4,29,4,16,EGK,69,96,90,2,0,0,0,0,,95
4,29,4,16,EGK,68,96,89,2,0,0,0,0,,95
4,29,5,16,RNW,66,88,80,4,0,0,0,0,,75
4,29,5,16,RNW,64,93,84,4,0,0,0,0,,75
4,29,5,16,RNW,70,82,77,4,0,0,0,0,,75
4,29,5,16,RNW,70,82,77,4,0,0,0,0,,75
4,29,6,16,RNW,52,70,55,1,0,0,0,0,,55
4,29,7,16,RNW,42,55,37,1,0,0,0,0,,35
4,30,1,16,RNW,57,90,75,1,0,0,0,0,,85
4,30,2,16,RNW,71,86,81,2,0,0,0,0,,85
4,30,2,16,RNW,65,98,89,2,0,0,0,0,,85
4,30,3,16,EGK,8,133,19,1,0,0,0,0,,25
4,30,4,16,RNW,15,26,7,1,0,0,0,0,,15
4,30,5,16,RNW,15,32,8,2,0,1,2,1,,15
4,30,5,16,RNW,46,27,19,2,0,0,0,0,,15
4,30,6,16,EGK,111,121,113,3,0,0,0,0,,125
4,30,6,16,EGK,112,121,112,3,0,0,0,0,,125
4,30,6,16,EGK,112,175,162,3,0,0,0,0,,125
4,30,7,16,RNW,60,99,86,1,0,0,0,0,,75
4,30,8,16,RNW,30,42,21,1,0,0,0,0,,25
4,30,9,17,EGK,21,120,43,6,0,0,0,0,,45
4,30,9,17,EGK,20,118,40,6,0,0,0,0,,45
4,30,9,17,EGK,20,113,39,6,0,0,0,0,,45
4,30,9,17,EGK,19,113,37,6,0,0,0,0,,45
4,30,9,17,EGK,18,113,35,6,0,0,0,0,,45
4,30,9,17,EGK,25,84,35,6,0,0,0,0,,45
4,30,10,17,EGK,7,175,21,1,0,0,0,0,,35
4,30,11,17,RNW,2,185,6,3,0,0,0,0,,25
4,30,11,17,RNW,7,190,23,3,0,0,0,0,,25
4,30,11,17,RNW,77,33,32,3,0,0,0,0,,25
4,30,12,17,EGK,64,83,75,6,0,0,0,0,,65
4,30,12,17,EGK,64,83,75,6,0,0,0,0,,65
4,30,12,17,EGK,79,100,98,6,0,0,0,0,,65
4,30,12,17,EGK,74,105,101,6,0,0,0,0,,65
4,30,12,17,EGK,59,102,87,6,0,0,0,0,,65
4,30,12,17,EGK,58,102,87,6,0,0,0,0,,65
4,31,2,17,RNW,9,21,3,1,1,1,1,1,,15
4,31,3,17,RNW,34,77,43,1,0,0,0,0,,35
4,31,4,17,EGK,14,77,19,14,0,0,0,0,,45
4,31,4,17,EGK,14,80,19,14,0,0,0,0,,45
4,31,4,17,EGK,83,41,41,14,0,0,0,0,,45
4,31,4,17,EGK,85,66,66,14,0,0,0,0,,45
4,31,4,17,EGK,79,66,65,14,0,0,0,0,,45
4,31,4,17,EGK,68,63,58,14,0,0,0,0,,45
4,31,4,17,EGK,66,63,58,14,0,0,0,0,,45
4,31,4,17,EGK,66,63,58,14,0,0,0,0,,45
4,31,4,17,EGK,66,63,58,14,0,0,0,0,,45
4,31,4,17,EGK,66,63,58,14,0,0,0,0,,45
4,31,4,17,EGK,66,63,58,14,0,0,0,0,,45
4,31,4,17,EGK,69,67,63,14,0,0,0,0,,45
4,31,4,17,EGK,82,52,51,14,0,0,0,0,,45
4,31,4,17,EGK,82,52,51,14,0,0,0,0,,45
4,31,5,17,RNW,64,46,41,1,0,0,0,0,,45
4,31,6,17,RNW,8,46,6,3,0,1,1,9,,15
4,31,6,17,RNW,9,56,9,3,0,1,1,9,,15
4,31,6,17,RNW,70,11,10,3,1,1,1,9,,15
4,31,7,17,RNW,5,160,14,2,0,1,2,0,,15
4,31,7,17,RNW,3,160,8,2,0,1,2,0,,15
4,32,1,6,RNW,67,15,14,1,0,1,1,0,,15
4,32,2,6,RNW,53,28,22,2,0,1,1,0,,25
4,32,2,6,RNW,53,28,22,2,1,1,1,0,,25
4,32,3,6,EGK,54,72,58,2,0,0,0,0,,55
4,32,3,6,EGK,53,72,58,2,0,0,0,0,,55
4,32,4,6,RNW,51,94,73,1,0,0,0,0,,75
4,32,5,6,RNW,27,82,37,1,0,0,0,0,,35
4,32,6,7,RNW,13,49,11,2,0,1,2,0,,15
4,32,6,7,RNW,13,49,11,2,0,1,2,0,,15
4,32,7,7,EGK,73,90,86,3,0,0,0,0,,95
4,32,7,7,EGK,73,87,83,3,0,0,0,0,,95
4,32,7,7,EGK,75,90,87,3,0,0,0,0,,95
4,32,8,7,RNW,50,25,19,1,0,0,0,0,,15
4,32,9,7,RNW,78,40,39,1,0,0,0,0,,35
4,32,10,7,RNW,44,65,45,1,0,0,0,0,,45
4,32,11,7,RNW,15,25,6,1,0,0,0,0,,15
4,32,12,7,RNW,56,115,95,1,0,0,0,0,,105
4,32,13,7,RNW,22,46,17,4,0,0,0,0,,25
4,32,13,7,RNW,26,72,32,4,0,0,0,0,,25
4,32,13,7,RNW,27,64,29,4,0,0,0,0,,25
4,32,13,7,RNW,30,53,27,4,0,0,0,0,,25
4,32,14,7,RNW,77,120,117,1,0,0,0,0,,125
4,32,15,7,RNW,56,135,112,1,0,0,0,0,,125
4,32,16,7,RNW,65,120,109,1,0,0,0,0,,125
4,32,17,7,RNW,61,220,192,2,0,0,0,0,,175
4,32,17,7,RNW,63,220,196,2,0,0,0,0,,175
4,32,18,7,RNW,20,210,72,1,0,1,1,0,,105
4,32,19,7,RNW,11,117,22,3,0,1,3,0,,25
4,32,19,7,RNW,13,117,26,3,0,1,2,0,,25
4,32,19,7,RNW,12,117,24,3,0,1,1,1,,25
4,32,20,7,RNW,6,53,6,1,0,1,2,0,,15
4,32,21,7,RNW,17,57,17,1,9,9,9,9,,15
4,32,22,7,RNW,62,21,19,1,0,0,0,0,,25
4,1,1,7,RNW,42,83,56,2,0,1,9,0,,65
4,1,1,7,RNW,43,82,56,2,1,1,2,0,,55
4,1,2,7,RNW,36,28,16,1,1,1,3,0,,25
4,1,3,7,RNW,90,33,33,1,0,0,0,0,,35
4,1,4,7,RNW,42,38,25,1,0,0,0,0,,35
4,1,5,7,RNW,90,57,57,1,0,0,0,0,,65
4,2,1,7,EGK,36,130,76,4,0,0,0,0,,75
4,2,1,7,EGK,36,131,77,4,0,0,0,0,,75
4,2,1,7,EGK,35,129,74,4,0,0,0,0,,75
4,2,1,7,EGK,38,134,82,4,0,0,0,0,,75
4,2,2,7,RNW,28,120,56,1,0,0,0,0,,65
4,2,3,7,RNW,78,28,27,1,0,1,3,0,,35
4,2,4,7,RNW,15,12,3,3,0,1,1,8,,15
4,2,4,7,RNW,50,11,8,3,0,0,0,0,,15
4,2,4,7,RNW,50,11,8,3,0,0,0,0,,15
4,2,5,7,RNW,100,18,18,1,0,0,0,0,,25
